T2M,RH2M,PRECTOTCORR,WS2M,GWETTOP,GWETROOT,GWETPROF,Date
8.41,54.12,0.0,2.13,0.27,0.38,0.38,20140101
9.16,32.06,0.0,1.93,0.27,0.38,0.38,20140102
10.53,20.56,0.0,1.62,0.27,0.38,0.38,20140103
11.78,16.06,0.0,0.95,0.27,0.38,0.38,20140104
11.05,20.19,0.0,1.46,0.26,0.38,0.38,20140105
10.89,24.88,0.0,1.67,0.26,0.38,0.38,20140106
11.42,27.94,1.11,1.68,0.29,0.38,0.38,20140107
11.47,32.31,0.04,1.65,0.29,0.38,0.38,20140108
10.32,55.19,0.0,1.88,0.28,0.38,0.38,20140109
10.25,47.44,0.0,1.59,0.28,0.38,0.38,20140110
10.55,41.31,0.0,2.01,0.27,0.38,0.38,20140111
11.55,29.25,0.0,1.41,0.27,0.38,0.38,20140112
13.47,24.56,0.0,1.36,0.27,0.38,0.38,20140113
14.08,27.06,0.0,1.52,0.26,0.38,0.38,20140114
14.71,32.38,0.0,0.79,0.26,0.38,0.38,20140115
13.79,36.94,0.0,1.2,0.26,0.38,0.38,20140116
11.1,45.19,1.97,0.84,0.29,0.38,0.38,20140117
11.76,61.31,0.61,1.25,0.31,0.38,0.38,20140118
12.39,62.12,0.03,1.34,0.3,0.38,0.38,20140119
13.8,37.25,0.0,1.06,0.3,0.38,0.38,20140120
13.3,59.19,1.17,1.24,0.3,0.38,0.38,20140121
13.65,88.56,9.72,1.05,0.46,0.4,0.4,20140122
13.0,80.38,0.21,0.93,0.41,0.41,0.4,20140123
13.38,61.75,0.0,1.44,0.39,0.41,0.4,20140124
13.69,45.06,0.0,1.44,0.38,0.4,0.4,20140125
14.55,42.75,0.0,1.87,0.37,0.4,0.4,20140126
14.56,43.94,0.0,1.63,0.36,0.4,0.4,20140127
14.65,40.88,0.0,1.72,0.36,0.4,0.4,20140128
15.7,39.06,0.0,1.05,0.35,0.4,0.4,20140129
16.28,36.25,0.0,0.84,0.35,0.4,0.39,20140130
15.75,35.44,0.0,1.11,0.34,0.39,0.39,20140131
15.51,35.75,0.0,0.95,0.34,0.39,0.39,20140201
16.95,35.38,0.01,0.93,0.33,0.39,0.39,20140202
15.81,57.88,0.26,1.6,0.33,0.39,0.39,20140203
15.6,56.56,0.02,1.48,0.32,0.39,0.39,20140204
15.9,48.5,0.01,1.19,0.31,0.39,0.39,20140205
16.15,51.44,1.67,1.88,0.32,0.39,0.39,20140206
13.08,57.94,0.26,2.14,0.34,0.39,0.39,20140207
11.53,36.44,0.04,1.79,0.32,0.39,0.39,20140208
11.94,34.75,0.0,2.13,0.3,0.39,0.39,20140209
11.8,28.0,0.0,1.23,0.3,0.39,0.39,20140210
13.18,26.12,0.0,1.01,0.3,0.39,0.39,20140211
12.46,33.81,0.0,1.97,0.29,0.39,0.39,20140212
13.67,30.06,0.0,1.11,0.28,0.38,0.38,20140213
13.26,57.69,0.17,1.62,0.28,0.38,0.38,20140214
