T2M,RH2M,PRECTOTCORR,WS2M,GWETTOP,GWETROOT,GWETPROF,Date
8.07,25.56,0.0,1.66,0.18,0.45,0.45,20140101
10.54,18.88,0.0,1.45,0.18,0.45,0.45,20140102
12.21,15.0,0.0,1.38,0.18,0.45,0.45,20140103
12.62,14.75,0.11,1.13,0.18,0.45,0.45,20140104
12.58,19.06,0.0,1.2,0.18,0.45,0.45,20140105
12.5,22.06,0.0,1.12,0.18,0.45,0.45,20140106
11.52,21.81,0.0,1.12,0.17,0.45,0.45,20140107
9.55,54.75,1.64,2.07,0.2,0.45,0.45,20140108
9.07,59.06,0.0,1.09,0.24,0.45,0.45,20140109
10.4,39.44,0.0,1.33,0.23,0.45,0.45,20140110
10.69,25.06,0.0,1.44,0.23,0.45,0.45,20140111
11.78,24.44,0.0,0.89,0.23,0.45,0.45,20140112
13.66,29.25,0.0,1.27,0.23,0.45,0.45,20140113
13.62,33.81,0.0,1.41,0.23,0.45,0.45,20140114
14.98,25.75,0.0,1.2,0.22,0.45,0.45,20140115
13.1,27.44,0.0,1.14,0.22,0.45,0.45,20140116
12.62,28.44,0.0,1.25,0.21,0.45,0.45,20140117
13.09,30.75,0.0,1.41,0.21,0.45,0.45,20140118
12.45,35.31,0.0,1.33,0.21,0.45,0.45,20140119
13.49,30.5,0.0,1.13,0.21,0.45,0.45,20140120
12.85,33.12,0.0,1.33,0.2,0.45,0.45,20140121
12.6,41.0,0.11,1.62,0.2,0.45,0.45,20140122
11.98,58.56,0.01,0.96,0.2,0.45,0.45,20140123
13.43,38.06,0.0,1.14,0.2,0.45,0.45,20140124
15.81,31.56,0.0,0.93,0.2,0.45,0.45,20140125
15.74,34.56,0.0,1.18,0.2,0.45,0.45,20140126
16.89,31.75,0.0,0.92,0.2,0.45,0.45,20140127
16.8,30.94,0.0,1.18,0.2,0.45,0.45,20140128
17.29,27.31,0.0,1.3,0.2,0.45,0.45,20140129
16.38,28.31,0.0,1.36,0.19,0.45,0.45,20140130
16.12,34.88,0.0,1.54,0.19,0.45,0.45,20140131
16.51,42.94,0.07,1.23,0.19,0.45,0.45,20140201
15.08,47.38,3.93,1.16,0.27,0.45,0.45,20140202
12.7,67.75,5.87,1.25,0.44,0.46,0.46,20140203
11.72,58.12,0.97,1.17,0.47,0.46,0.46,20140204
12.05,50.06,0.04,1.36,0.45,0.46,0.46,20140205
8.52,79.69,2.95,2.39,0.47,0.46,0.46,20140206
8.76,62.31,0.0,1.77,0.46,0.47,0.46,20140207
8.72,40.25,0.0,2.01,0.44,0.46,0.46,20140208
10.68,34.44,0.0,1.54,0.42,0.46,0.46,20140209
10.63,34.5,0.0,1.21,0.41,0.46,0.46,20140210
11.62,33.12,0.0,0.98,0.4,0.46,0.46,20140211
11.8,34.12,0.0,1.42,0.39,0.46,0.46,20140212
13.03,31.62,0.0,1.14,0.38,0.46,0.46,20140213
13.83,30.94,0.0,1.09,0.37,0.45,0.46,20140214
11.65,36.88,0.0,1.34,0.36,0.45,0.46,20140215
12.3,35.81,0.14,0.96,0.35,0.45,0.46,20140216
13.55,32.06,0.0,1.15,0.34,0.45,0.45,20140217
15.12,28.0,0.0,1.15,0.34,0.45,0.45,20140218
15.07,28.88,0.16,1.4,0.33,0.45,0.45,20140219
13.87,47.69,1.63,2.02,0.35,0.45,0.45,20140220
12.01,65.94,0.56,1.83,0.36,0.45,0.46,20140221
14.1,50.06,0.11,0.95,0.36,0.45,0.45,20140222
15.3,41.81,0.0,0.97,0.34,0.45,0.45,20140223
16.61,39.5,0.0,1.12,0.34,0.45,0.45,20140224
17.48,35.44,0.0,0.99,0.32,0.45,0.45,20140225
17.37,43.69,1.74,1.86,0.34,0.45,0.45,20140226
16.51,52.44,0.85,1.15,0.38,0.45,0.45,20140227
17.16,45.56,0.52,0.85,0.38,0.45,0.45,20140228
16.09,35.56,0.0,1.01,0.36,0.45,0.45,20140301
15.98,35.88,0.02,1.24,0.34,0.45,0.45,20140302
13.72,65.56,9.79,2.4,0.5,0.47,0.47,20140303
13.76,64.62,0.08,1.45,0.47,0.47,0.47,20140304
15.62,50.81,0.0,1.02,0.45,0.47,0.47,20140305
16.96,45.12,0.24,0.8,0.45,0.46,0.46,20140306
18.69,45.5,1.43,1.04,0.45,0.47,0.47,20140307
18.76,48.81,0.73,1.05,0.43,0.46,0.46,20140308
19.58,50.5,2.33,1.62,0.45,0.47,0.47,20140309
14.82,68.0,12.14,2.16,0.54,0.48,0.48,20140310
11.6,70.31,2.54,2.9,0.52,0.49,0.48,20140311
15.85,57.75,0.0,1.27,0.48,0.48,0.48,20140312
18.4,43.81,0.0,1.21,0.46,0.48,0.48,20140313
19.35,44.75,0.0,1.27,0.46,0.48,0.48,20140314
17.34,62.25,1.36,2.51,0.47,0.48,0.48,20140315
18.68,63.0,0.26,1.82,0.46,0.48,0.48,20140316
19.51,64.25,9.38,1.65,0.52,0.48,0.48,20140317
19.09,48.0,0.0,1.27,0.48,0.49,0.48,20140318
19.35,38.62,0.0,1.21,0.46,0.48,0.48,20140319
20.99,39.69,0.0,1.42,0.46,0.48,0.48,20140320
20.5,48.44,0.0,2.55,0.45,0.48,0.48,20140321
20.8,51.94,0.05,1.13,0.45,0.48,0.48,20140322
19.43,58.81,0.36,2.12,0.45,0.48,0.48,20140323
18.1,69.0,6.68,1.47,0.5,0.48,0.48,20140324
18.51,63.5,0.01,1.52,0.48,0.48,0.48,20140325
19.8,45.62,0.0,1.49,0.46,0.48,0.48,20140326
20.09,47.94,0.09,1.62,0.45,0.48,0.48,20140327
18.63,63.69,1.64,2.04,0.47,0.48,0.48,20140328
19.76,53.31,0.09,1.59,0.45,0.48,0.48,20140329
21.93,41.88,0.12,1.16,0.45,0.48,0.48,20140330
23.03,36.81,0.0,1.14,0.43,0.47,0.47,20140331
23.36,40.75,0.51,1.66,0.42,0.47,0.47,20140401
21.25,56.12,1.69,2.47,0.45,0.47,0.47,20140402
21.07,54.88,0.01,1.41,0.43,0.47,0.47,20140403
22.74,48.25,1.92,1.43,0.44,0.47,0.47,20140404
23.02,62.62,9.36,2.17,0.51,0.48,0.48,20140405
22.41,65.88,7.55,2.19,0.52,0.48,0.48,20140406
21.34,52.25,0.01,1.3,0.47,0.48,0.48,20140407
22.63,39.31,0.0,1.16,0.45,0.48,0.48,20140408
23.7,34.88,0.0,1.01,0.45,0.48,0.48,20140409
25.1,33.0,0.0,0.97,0.43,0.48,0.48,20140410
25.49,32.75,0.0,1.19,0.41,0.47,0.47,20140411
26.16,33.75,0.74,1.15,0.4,0.47,0.47,20140412
23.91,41.44,0.01,2.15,0.4,0.47,0.47,20140413
23.8,41.06,0.35,1.13,0.38,0.46,0.47,20140414
23.19,47.56,3.3,1.61,0.41,0.47,0.47,20140415
24.26,49.0,1.99,1.34,0.42,0.47,0.47,20140416
23.21,57.75,27.85,1.72,0.57,0.52,0.5,20140417
21.05,64.62,11.81,2.08,0.56,0.52,0.51,20140418
20.99,59.38,0.06,0.94,0.51,0.52,0.52,20140419
22.73,51.12,0.01,1.04,0.48,0.52,0.51,20140420
23.51,54.5,0.08,1.24,0.48,0.51,0.51,20140421
26.09,50.69,0.12,0.84,0.47,0.51,0.51,20140422
27.33,43.75,0.12,1.14,0.46,0.5,0.5,20140423
28.09,42.0,0.61,1.05,0.46,0.5,0.5,20140424
27.39,45.44,1.12,1.44,0.47,0.5,0.49,20140425
28.05,38.44,0.0,1.12,0.45,0.49,0.49,20140426
29.11,32.69,0.0,0.84,0.45,0.48,0.49,20140427
30.48,31.38,0.0,1.15,0.45,0.48,0.48,20140428
31.01,32.19,0.67,1.09,0.44,0.48,0.48,20140429
31.87,33.19,0.81,1.2,0.45,0.48,0.48,20140430
32.75,31.25,0.0,1.17,0.42,0.47,0.48,20140501
32.76,32.25,0.0,1.22,0.41,0.47,0.47,20140502
31.38,38.81,0.39,2.12,0.39,0.46,0.47,20140503
30.19,42.06,0.24,2.67,0.38,0.46,0.47,20140504
30.01,44.31,1.07,1.29,0.37,0.46,0.46,20140505
31.46,39.44,0.03,1.09,0.34,0.46,0.46,20140506
30.72,38.44,1.35,1.31,0.34,0.46,0.46,20140507
31.2,35.94,1.38,1.22,0.38,0.46,0.46,20140508
31.61,31.56,0.0,0.87,0.33,0.45,0.46,20140509
30.99,32.44,0.03,1.93,0.3,0.45,0.46,20140510
29.94,34.94,0.73,1.51,0.29,0.45,0.46,20140511
25.47,50.5,9.34,1.44,0.37,0.46,0.46,20140512
24.58,56.38,1.88,1.81,0.48,0.47,0.47,20140513
25.56,46.56,0.06,1.05,0.43,0.47,0.47,20140514
28.02,40.56,0.02,0.7,0.41,0.46,0.47,20140515
28.08,46.94,1.27,1.19,0.41,0.46,0.46,20140516
27.53,49.31,4.48,1.75,0.45,0.47,0.47,20140517
27.69,49.62,3.05,1.17,0.47,0.47,0.47,20140518
28.65,44.12,0.01,1.41,0.42,0.46,0.47,20140519
29.25,40.75,0.42,1.36,0.39,0.46,0.46,20140520
31.23,33.19,0.0,0.87,0.34,0.46,0.46,20140521
32.37,27.0,0.0,2.55,0.3,0.45,0.46,20140522
31.28,20.0,0.01,3.27,0.27,0.45,0.45,20140523
32.69,16.62,0.0,1.16,0.24,0.45,0.45,20140524
33.54,24.31,0.0,1.19,0.22,0.45,0.45,20140525
33.8,23.38,0.0,1.36,0.21,0.45,0.45,20140526
33.98,24.06,0.03,1.13,0.2,0.45,0.45,20140527
36.02,20.75,0.0,0.92,0.19,0.45,0.45,20140528
36.76,19.75,0.16,1.21,0.18,0.45,0.45,20140529
34.24,25.69,0.32,2.79,0.18,0.45,0.45,20140530
34.23,26.19,1.44,2.27,0.19,0.45,0.45,20140531
32.15,30.19,1.11,3.37,0.25,0.45,0.45,20140601
33.26,25.0,0.0,1.27,0.23,0.45,0.45,20140602
35.06,24.38,0.0,1.27,0.21,0.45,0.45,20140603
36.36,20.5,0.0,1.19,0.2,0.45,0.45,20140604
38.06,18.56,0.0,1.29,0.18,0.45,0.45,20140605
38.2,17.31,0.0,0.95,0.17,0.45,0.45,20140606
37.24,19.81,0.0,2.47,0.16,0.45,0.45,20140607
36.24,19.5,0.0,2.92,0.15,0.45,0.45,20140608
35.62,16.56,0.0,3.98,0.14,0.45,0.45,20140609
36.12,11.88,0.0,2.93,0.14,0.45,0.45,20140610
36.87,12.12,0.0,2.01,0.13,0.45,0.45,20140611
37.47,13.5,0.0,1.8,0.12,0.45,0.45,20140612
37.69,13.88,0.0,0.95,0.12,0.45,0.45,20140613
38.65,18.38,0.0,1.18,0.12,0.45,0.45,20140614
38.96,22.5,0.0,1.64,0.12,0.45,0.45,20140615
39.72,26.0,0.03,2.45,0.12,0.45,0.45,20140616
40.04,23.94,0.09,1.55,0.11,0.45,0.45,20140617
38.81,20.06,0.13,3.3,0.12,0.45,0.45,20140618
38.48,24.06,2.1,1.73,0.17,0.45,0.45,20140619
39.39,22.5,0.0,1.06,0.18,0.45,0.45,20140620
38.76,17.5,0.01,2.72,0.17,0.45,0.45,20140621
37.29,19.44,1.6,1.3,0.21,0.45,0.45,20140622
35.75,23.31,0.95,1.48,0.23,0.45,0.45,20140623
35.84,20.81,0.76,1.09,0.23,0.45,0.45,20140624
37.26,23.06,0.16,1.45,0.21,0.45,0.45,20140625
34.47,48.12,12.92,2.47,0.47,0.47,0.46,20140626
35.4,45.25,0.0,1.51,0.41,0.46,0.46,20140627
37.58,37.88,0.0,1.12,0.36,0.45,0.46,20140628
36.55,22.38,0.32,1.34,0.31,0.45,0.45,20140629
37.34,25.5,0.0,1.93,0.27,0.45,0.45,20140630
37.37,36.0,0.64,3.55,0.27,0.45,0.45,20140701
36.62,37.69,1.16,3.8,0.28,0.45,0.45,20140702
33.94,45.44,6.67,2.16,0.38,0.45,0.46,20140703
34.36,44.62,0.42,1.73,0.38,0.45,0.46,20140704
35.34,43.0,2.29,1.36,0.36,0.45,0.45,20140705
34.62,43.81,5.2,1.05,0.45,0.46,0.46,20140706
35.4,41.44,2.15,1.3,0.42,0.46,0.46,20140707
36.49,37.69,0.0,1.18,0.36,0.45,0.46,20140708
38.1,31.38,0.0,1.52,0.3,0.45,0.45,20140709
37.74,28.06,1.09,1.4,0.3,0.45,0.45,20140710
38.64,25.56,0.0,1.48,0.26,0.45,0.45,20140711
38.63,23.19,0.0,1.2,0.23,0.45,0.45,20140712
38.52,17.06,0.0,1.45,0.2,0.45,0.45,20140713
38.74,20.62,0.02,1.7,0.18,0.45,0.45,20140714
39.52,24.06,0.01,1.2,0.17,0.45,0.45,20140715
38.48,25.69,2.18,2.67,0.21,0.45,0.45,20140716
33.82,50.75,14.71,1.59,0.45,0.46,0.46,20140717
32.69,54.88,6.1,1.06,0.49,0.47,0.47,20140718
33.23,54.12,0.71,1.42,0.45,0.47,0.47,20140719
33.69,43.19,0.01,0.97,0.41,0.46,0.46,20140720
34.71,35.38,0.01,1.05,0.38,0.46,0.46,20140721
36.19,32.88,0.0,1.34,0.34,0.45,0.46,20140722
37.14,34.69,0.02,1.3,0.3,0.45,0.45,20140723
37.01,42.69,4.55,2.39,0.4,0.46,0.46,20140724
35.84,45.88,2.25,2.76,0.38,0.45,0.46,20140725
34.83,49.25,2.66,2.16,0.39,0.45,0.46,20140726
34.92,48.5,2.2,1.86,0.39,0.45,0.46,20140727
35.05,50.06,8.82,2.21,0.44,0.46,0.46,20140728
32.39,64.88,24.95,1.97,0.58,0.49,0.48,20140729
31.51,66.5,11.7,1.24,0.55,0.52,0.5,20140730
32.05,63.94,0.03,1.36,0.48,0.52,0.5,20140731
33.37,58.94,0.93,1.87,0.48,0.51,0.5,20140801
33.75,55.19,0.07,1.84,0.45,0.5,0.5,20140802
34.51,51.38,0.0,2.1,0.43,0.49,0.49,20140803
35.25,47.44,0.0,1.45,0.41,0.49,0.49,20140804
35.64,44.69,0.13,2.21,0.39,0.48,0.48,20140805
35.09,48.5,2.25,1.23,0.41,0.48,0.48,20140806
35.5,46.94,1.39,1.73,0.41,0.48,0.48,20140807
34.21,47.94,2.05,2.34,0.41,0.48,0.48,20140808
32.8,58.44,5.34,1.59,0.45,0.48,0.48,20140809
34.26,53.81,0.0,1.76,0.41,0.48,0.48,20140810
34.92,50.31,0.21,1.57,0.39,0.48,0.48,20140811
35.53,47.31,0.02,2.06,0.38,0.47,0.48,20140812
35.69,44.69,0.0,1.59,0.36,0.47,0.47,20140813
36.3,37.69,0.42,1.16,0.36,0.47,0.47,20140814
35.54,33.12,0.02,2.22,0.34,0.46,0.47,20140815
30.93,55.19,22.9,3.43,0.5,0.48,0.48,20140816
